Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_TripleEG_18_18_12_er2p5,0.2,0.1,0.1,-20.4%,-29.4%,35.8%,0.2,0.1,-27.1%,176,147,113,163,163,119
L1_TripleEG16er2p5,0.1,0.1,0.0,-36.7%,-102.3%,63.8%,0.0,0.0,-,89,65,32,41,0,0
L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,8.8,12.0,11.6,27.0%,-3.6%,-32.2%,10.4,12.8,23.0%,8784,12029,11616,11798,10420,12816
L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,7.5,10.3,9.9,27.3%,-3.9%,-32.4%,9.3,10.7,15.1%,7517,10336,9949,9920,9281,10680
L1_LooseIsoEG26er2p1_HTT100er,9.9,12.7,11.8,21.8%,-7.7%,-18.8%,12.4,12.0,-3.1%,9936,12713,11803,13063,12374,11985
L1_LooseIsoEG28er2p1_HTT100er,8.9,11.5,11.0,22.4%,-4.9%,-22.8%,10.7,11.4,6.0%,8947,11525,10990,11920,10746,11392
L1_LooseIsoEG30er2p1_HTT100er,8.1,10.3,9.8,21.3%,-4.6%,-21.5%,10.1,10.3,2.3%,8070,10255,9804,10532,10095,10324
L1_DoubleEG8er2p5_HTT300er,0.9,3.0,2.4,70.1%,-26.8%,-163.3%,0.7,2.0,209.7%,912,3044,2400,1510,651,2017
L1_DoubleEG8er2p5_HTT320er,0.7,2.4,2.0,68.5%,-18.7%,-167.3%,0.3,1.7,410.2%,749,2377,2003,1265,326,1661
L1_DoubleEG8er2p5_HTT340er,0.6,1.8,1.5,64.7%,-20.3%,-135.3%,0.2,1.1,555.9%,633,1791,1488,1021,163,1068
L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,4.1,4.8,4.6,15.2%,-5.4%,-11.8%,4.9,5.3,9.3%,4102,4835,4587,5062,4885,5340
L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,3.2,3.9,3.7,16.9%,-4.3%,-15.4%,4.4,4.3,-2.8%,3231,3890,3729,4041,4396,4272
L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,0.9,1.5,1.6,42.3%,5.0%,-82.2%,1.8,1.7,-7.2%,874,1514,1593,1021,1791,1661
L1_SingleTau120er2p1,2.1,3.3,3.2,37.2%,-3.5%,-53.9%,3.4,3.1,-9.8%,2064,3288,3176,2613,3419,3085
L1_SingleTau130er2p1,1.6,2.5,2.3,34.6%,-8.3%,-41.0%,2.9,1.9,-35.2%,1630,2491,2299,2245,2931,1899
